Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Primary Language,FinServ__PrimaryLanguage__c,TRUE,"[ ""Abkhaz"" , ""Adyghe"" , ""Afrikaans"" , ""Akan"" , ""Albanian"" , ""American Sign Language"" , ""Amharic"" , ""Arabic"" , ""Aragonese"" , ""Aramaic"" , ""Armenian"" , ""Aymara"" , ""Balinese"" , ""Basque"" , ""Betawi"" , ""Bosnian"" , ""Breton"" , ""Bulgarian"" , ""Cantonese"" , ""Catalan"" , ""Cherokee"" , ""Chickasaw"" , ""Chinese"" , ""Coptic"" , ""Cornish"" , ""Corsican"" , ""Crimean Tatar"" , ""Croatian"" , ""Czech"" , ""Danish"" , ""Dutch"" , ""Dawro"" , ""Esperanto"" , ""Estonian"" , ""Ewe"" , ""Fiji Hindi"" , ""Filipino"" , ""Finnish"" , ""French"" , ""Galician"" , ""Georgian"" , ""German"" , ""Greek, Modern"" , ""Ancient Greek"" , ""Greenlandic"" , ""Haitian Creole"" , ""Hawaiian"" , ""Hebrew"" , ""Hindi"" , ""Hungarian"" , ""Icelandic"" , ""Indonesian"" , ""Inuktitut"" , ""Interlingua"" , ""Irish"" , ""Italian"" , ""Japanese"" , ""Javanese"" , ""Kabardian"" , ""Kalasha"" , ""Kannada"" , ""Kashubian"" , ""Khmer"" , ""Kinyarwanda"" , ""Korean"" , ""Kurdish/Kurdî"" , ""Ladin"" , ""Latgalian"" , ""Latin"" , ""Lingala"" , ""Livonian"" , ""Lojban"" , ""Lower Sorbian"" , ""Low German"" , ""Macedonian"" , ""Malay"" , ""Malayalam"" , ""Mandarin"" , ""Manx"" , ""Maori"" , ""Mauritian Creole"" , ""Middle Low German"" , ""Min Nan"" , ""Mongolian"" , ""Norwegian"" , ""English"" , ""Oriya"" , ""Pangasinan"" , ""Papiamentu"" , ""Pashto"" , ""Persian"" , ""Pitjantjatjara"" , ""Polish"" , ""Portuguese"" , ""Proto-Slavic"" , ""Quenya"" , ""Rapa Nui"" , ""Romanian"" , ""Russian"" , ""Sanskrit"" , ""Scots"" , ""Scottish Gaelic"" , ""Serbian"" , ""Serbo-Croatian"" , ""Slovak"" , ""Slovene"" , ""Spanish"" , ""Sinhalese"" , ""Swahili"" , ""Swedish"" , ""Tagalog"" , ""Tajik"" , ""Tamil"" , ""Tarantino"" , ""Telugu"" , ""Thai"" , ""Tok Pisin"" , ""Turkish"" , ""Twi"" , ""Ukrainian"" , ""Upper Sorbian"" , ""Urdu"" , ""Uzbek"" , ""Venetian"" , ""Vietnamese"" , ""Vilamovian"" , ""Volapük"" , ""Võro"" , ""Welsh"" , ""Xhosa"" , ""Yiddish"" , ""Zazaki"" ]",--,null,picklist,FALSE,TRUE
Secondary Language,FinServ__SecondaryLanguage__c,TRUE,"[ ""Abkhaz"" , ""Adyghe"" , ""Afrikaans"" , ""Akan"" , ""Albanian"" , ""American Sign Language"" , ""Amharic"" , ""Arabic"" , ""Aragonese"" , ""Aramaic"" , ""Armenian"" , ""Aymara"" , ""Balinese"" , ""Basque"" , ""Betawi"" , ""Bosnian"" , ""Breton"" , ""Bulgarian"" , ""Cantonese"" , ""Catalan"" , ""Cherokee"" , ""Chickasaw"" , ""Chinese"" , ""Coptic"" , ""Cornish"" , ""Corsican"" , ""Crimean Tatar"" , ""Croatian"" , ""Czech"" , ""Danish"" , ""Dutch"" , ""Dawro"" , ""Esperanto"" , ""Estonian"" , ""Ewe"" , ""Fiji Hindi"" , ""Filipino"" , ""Finnish"" , ""French"" , ""Galician"" , ""Georgian"" , ""German"" , ""Greek, Modern"" , ""Ancient Greek"" , ""Greenlandic"" , ""Haitian Creole"" , ""Hawaiian"" , ""Hebrew"" , ""Hindi"" , ""Hungarian"" , ""Icelandic"" , ""Indonesian"" , ""Inuktitut"" , ""Interlingua"" , ""Irish"" , ""Italian"" , ""Japanese"" , ""Javanese"" , ""Kabardian"" , ""Kalasha"" , ""Kannada"" , ""Kashubian"" , ""Khmer"" , ""Kinyarwanda"" , ""Korean"" , ""Kurdish/Kurdî"" , ""Ladin"" , ""Latgalian"" , ""Latin"" , ""Lingala"" , ""Livonian"" , ""Lojban"" , ""Lower Sorbian"" , ""Low German"" , ""Macedonian"" , ""Malay"" , ""Malayalam"" , ""Mandarin"" , ""Manx"" , ""Maori"" , ""Mauritian Creole"" , ""Middle Low German"" , ""Min Nan"" , ""Mongolian"" , ""Norwegian"" , ""English"" , ""Oriya"" , ""Pangasinan"" , ""Papiamentu"" , ""Pashto"" , ""Persian"" , ""Pitjantjatjara"" , ""Polish"" , ""Portuguese"" , ""Proto-Slavic"" , ""Quenya"" , ""Rapa Nui"" , ""Romanian"" , ""Russian"" , ""Sanskrit"" , ""Scots"" , ""Scottish Gaelic"" , ""Serbian"" , ""Serbo-Croatian"" , ""Slovak"" , ""Slovene"" , ""Spanish"" , ""Sinhalese"" , ""Swahili"" , ""Swedish"" , ""Tagalog"" , ""Tajik"" , ""Tamil"" , ""Tarantino"" , ""Telugu"" , ""Thai"" , ""Tok Pisin"" , ""Turkish"" , ""Twi"" , ""Ukrainian"" , ""Upper Sorbian"" , ""Urdu"" , ""Uzbek"" , ""Venetian"" , ""Vietnamese"" , ""Vilamovian"" , ""Volapük"" , ""Võro"" , ""Welsh"" , ""Xhosa"" , ""Yiddish"" , ""Zazaki"" ]",--,null,picklist,FALSE,TRUE
Affiliations,FinServ__Affiliations__c,TRUE,--,--,null,textarea,FALSE,TRUE
Communication Preferences,FinServ__CommunicationPreferences__c,TRUE,"[ ""Fraud:Phone"" , ""Fraud:Email"" , ""Fraud:SMS"" , ""Promotions:Phone"" , ""Promotions:Email"" , ""Promotions:SMS"" , ""Balance Activities:Phone"" , ""Balance Activities:Email"" , ""Balance Activities:SMS"" ]",--,null,multipicklist,FALSE,TRUE
Contact Preference,FinServ__ContactPreference__c,TRUE,"[ ""Email"" , ""Phone"" , ""Mobile"" ]",--,null,picklist,FALSE,TRUE
Customer Timezone,FinServ__CustomerTimezone__c,TRUE,"[ ""Pacific/Kiritimati"" , ""Pacific/Enderbury"" , ""Pacific/Tongatapu"" , ""Pacific/Chatham"" , ""Asia/Kamchatka"" , ""Pacific/Auckland"" , ""Pacific/Fiji"" , ""Pacific/Norfolk"" , ""Pacific/Guadalcanal"" , ""Australia/Lord_Howe"" , ""Australia/Brisbane"" , ""Australia/Sydney"" , ""Australia/Adelaide"" , ""Australia/Darwin"" , ""Asia/Seoul"" , ""Asia/Tokyo"" , ""Asia/Hong_Kong"" , ""Asia/Kuala_Lumpur"" , ""Asia/Manila"" , ""Asia/Shanghai"" , ""Asia/Singapore"" , ""Asia/Taipei"" , ""Australia/Perth"" , ""Asia/Bangkok"" , ""Asia/Jakarta"" , ""Asia/Saigon"" , ""Asia/Rangoon"" , ""Asia/Dacca"" , ""Asia/Katmandu"" , ""Asia/Calcutta"" , ""Asia/Colombo"" , ""Asia/Karachi"" , ""Asia/Tashkent"" , ""Asia/Yekaterinburg"" , ""Asia/Kabul"" , ""Asia/Dubai"" , ""Asia/Tbilisi"" , ""Asia/Tehran"" , ""Africa/Nairobi"" , ""Asia/Baghdad"" , ""Asia/Kuwait"" , ""Asia/Riyadh"" , ""Europe/Moscow"" , ""Africa/Cairo"" , ""Africa/Johannesburg"" , ""Asia/Jerusalem"" , ""Europe/Athens"" , ""Europe/Bucharest"" , ""Europe/Helsinki"" , ""Europe/Istanbul"" , ""Europe/Minsk"" , ""Europe/Amsterdam"" , ""Europe/Berlin"" , ""Europe/Brussels"" , ""Europe/Paris"" , ""Europe/Prague"" , ""Europe/Rome"" , ""Europe/Dublin"" , ""Europe/Lisbon"" , ""Europe/London"" , ""GMT"" , ""Atlantic/Cape_Verde"" , ""Atlantic/South_Georgia"" , ""America/Buenos_Aires"" , ""America/Sao_Paulo"" , ""America/St_Johns"" , ""America/Halifax"" , ""America/Puerto_Rico"" , ""America/Santiago"" , ""Atlantic/Bermuda"" , ""America/Caracas"" , ""America/Bogota"" , ""America/Indianapolis"" , ""America/Lima"" , ""America/New_York"" , ""America/Panama"" , ""America/Chicago"" , ""America/El_Salvador"" , ""America/Mexico_City"" , ""America/Denver"" , ""America/Phoenix"" , ""America/Los_Angeles"" , ""America/Tijuana"" , ""America/Anchorage"" , ""Pacific/Honolulu"" , ""Pacific/Niue"" , ""Pacific/Pago_Pago"" ]",--,null,picklist,FALSE,TRUE
Email Verified,FinServ__EmailVerified__c,FALSE,--,--,null,boolean,FALSE,TRUE
Fax Verified,FinServ__FaxVerified__c,FALSE,--,--,null,boolean,FALSE,TRUE
Home Ownership,FinServ__HomeOwnership__c,TRUE,"[ ""Rent"" , ""Own"" , ""Other"" ]",--,null,picklist,FALSE,TRUE
Home Phone Verified,FinServ__HomePhoneVerified__c,FALSE,--,--,null,boolean,FALSE,TRUE
